theta,sign
0.17444444444444443,0.004560551345027728
0.1918888888888889,0.005026037424980865
0.20933333333333334,0.0054927055106706564
0.22677777777777777,0.005960293480576047
0.24422222222222223,0.00642851008666367
0.26166666666666666,0.006897036852093885
0.27911111111111114,0.0073655297046127145
0.29655555555555557,0.007833620424464382
0.31400000000000006,0.008300917962102963
0.33144444444444443,0.008767009669364443
0.34888888888888886,0.009231462476517158
0.36633333333333334,0.009693824040140818
0.3837777777777778,0.010153623880308202
0.4012222222222222,0.010610374525536483
0.4186666666666667,0.011063572665409704
0.43611111111111117,0.011512700334566079
0.45355555555555555,0.01195722611978911
0.471,0.01239660639923885
0.48844444444444446,0.012830286613606886
0.5058888888888889,0.013257702568481008
0.5233333333333333,0.013678281765679237
0.5407777777777778,0.014091444759946885
0.5582222222222223,0.014496606536185225
0.5756666666666667,0.014893177901285313
0.5931111111111111,0.01528056688366849
0.6105555555555556,0.015658180132781172
0.6280000000000001,0.01602542431005338
0.6454444444444445,0.016381707462205988
0.6628888888888889,0.016726440367277412
0.6803333333333333,0.01705903784333317
0.6977777777777777,0.017378920009516477
0.7152222222222222,0.01768551348888643
0.7326666666666667,0.017978252542363068
0.7501111111111112,0.01825658012304299
0.7675555555555555,0.018519948840148355
0.785,0.018767821821907494
0.8024444444444444,0.018999673466712618
0.819888888888889,0.01921499007193234
0.8373333333333334,0.019413270329740297
0.8547777777777777,0.01959402567921999
0.8722222222222223,0.019756780503773882
0.8896666666666667,0.019901072162451856
0.9071111111111111,0.020026450843158825
0.9245555555555556,0.02013247922473254
0.942,0.020218731933512847
0.9594444444444445,0.020284794778150688
0.9768888888888889,0.02033026374389739
0.9943333333333333,0.0203547437243154
1.0117777777777779,0.02035784696405515
1.0292222222222223,0.02033919118079332
1.0466666666666666,0.020298397327288522
1.0641111111111112,0.020235086945343886
1.0815555555555556,0.020148879051691108
1.099,0.02003938648064862
1.1164444444444446,0.019906211588805737
1.133888888888889,0.019748941201501967
1.1513333333333333,0.01956714064751109
1.168777777777778,0.019360346684306213
1.1862222222222223,0.019128059057607127
1.2036666666666669,0.018869730359887163
1.2211111111111113,0.01858475374481796
1.2385555555555556,0.018272447905909157
1.2560000000000002,0.01793203851924152
1.2734444444444446,0.017562635053585837
1.290888888888889,0.017163201421469435
1.3083333333333333,0.016732518309876123
1.3257777777777777,0.016269134070703174
1.3432222222222223,0.015771299568151365
1.3606666666666667,0.015236880022130915
1.378111111111111,0.014663233018028118
