reso,cut,s,b
0.0109937854465,3000,37.1090717467,11393842.67892638
0.0354012061716,3500,32.8703140729,862116.751186705
0.215741146704,4000,31.8119213712,21732.1167122982
2.27299070416,4500,30.9131109072,174.9416654567
13.7400555185,5000,30.271247088,0.5387883909
16.7898155976,5500,29.871005048,0.1003389818
16.6812304697,6000,29.5346354802,0.1000000809
16.5800166358,6500,29.2386243422,0.1
16.4751648942,7000,28.9333275493,0.1
16.3366653174,7500,28.532166414,0.1
16.1620547959,8000,28.0298359328,0.1
15.9520607255,8500,27.4307825056,0.1
15.6080845853,9000,26.4615156091,0.1
15.3233303316,9500,25.670439546,0.1
15.044977326,10000,24.9070900472,0.1
14.7287862266,10500,24.0519453717,0.1
14.4465255948,11000,23.2993651654,0.1
14.1937063008,11500,22.6339650102,0.1
13.9088670858,12000,21.8941569954,0.1
13.6302293395,12500,21.1806098921,0.1
13.3783117813,13000,20.5441670678,0.1
13.0347396304,13500,19.6895104824,0.1
12.7480303843,14000,18.9881409793,0.1
12.4883502311,14500,18.3622294712,0.1
12.2524848856,15000,17.8014432998,0.1
11.9902833728,15500,17.1867071343,0.1
11.7397538396,16000,16.6078959793,0.1
11.4860940104,16500,16.030412621,0.1
11.2665488945,17000,15.537577915,0.1
10.9837627841,17500,14.912371273,0.1
10.7264152588,18000,14.3528357525,0.1
10.5522024262,18500,13.9791782555,0.1
10.3036243535,19000,13.4532127507,0.1
10.131930131,19500,13.0948836179,0.1
9.92742900272,20000,12.6733942826,0.1
9.73027566978,20500,12.2725348933,0.1
9.55715891939,21000,11.9250060704,0.1
9.36032049395,21500,11.5349422387,0.1
9.18220814196,22000,11.1866697977,0.1
9.00986269865,22500,10.8539264698,0.1
8.83809947692,23000,10.5264855444,0.1
8.67539380844,23500,10.2201738966,0.1
8.49546514417,24000,9.8858315999,0.1
8.28273436494,24500,9.4965167009,0.1
8.12576602157,25000,9.2134253527,0.1
7.95403735636,25500,8.9077924913,0.1
7.79023776247,26000,8.620259708,0.1
7.590149341,26500,8.2743350145,0.1
7.36291161855,27000,7.8885926154,0.1
7.17224261604,27500,7.570803227,0.1
6.96977842555,28000,7.2392606773,0.1
6.81449400269,28500,6.9891215831,0.1
6.62242722326,29000,6.6847379419,0.1
6.50651568807,29500,6.5037355931,0.1
6.35302880609,30000,6.2671910787,0.1
6.20244192739,30500,6.0386026129,0.1
6.04289046539,31000,5.800194153,0.1
5.86498538559,31500,5.5389834122,0.1
5.70973410042,32000,5.3150406644,0.1
5.55580962579,32500,5.096720508,0.1
5.35620388901,33000,4.8191435465,0.1
5.20216666349,33500,4.6092376192,0.1
5.03015607469,34000,4.3793010769,0.1
4.81802217519,34500,4.1022623279,0.1
4.65496023506,35000,3.8942544748,0.1
4.46602633233,35500,3.6586656023,0.1
4.27698879979,36000,3.4288241865,0.1
4.08129265425,36500,3.1971396235,0.1
3.90060362375,37000,2.9889266273,0.1
3.71055501449,37500,2.7759008223,0.1
3.50518707467,38000,2.5526649211,0.1
3.28204437244,38500,2.3184100117,0.1
3.09352125904,39000,2.1273287899,0.1
2.88701244042,39500,1.9253014925,0.1
2.66462624489,40000,1.7163899174,0.1
2.48507534162,40500,1.5543695123,0.1
2.24549654026,41000,1.3476103963,0.1
1.97514613765,41500,1.1275261191,0.1
1.69650191409,42000,0.9157867431,0.1
1.39301168336,42500,0.7032129292,0.1
1.05402859653,43000,0.4890227593,0.1
0.622298122131,43500,0.2541001488,0.1
